"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3.183,11.319,10.694,6.311,7.077,9.839,9.876,9.735,10.902,8.272,7.23,4.51,7.62,5.556,0.445,10.044,12.657,8.531,13.039,9.398,10.336,-0.988,8.783,7.824,11.103,9.398,5.756,4.44,6.802,9.402,9.9,9.19,8.154,9.525,9.243,9.651,-1.273,8.764,8.902,11.72,10.043,8.078,9.293,13.301,2.144,6.572,8.324,7.87,7.766,15.46,13.952,19.209,2.494,-12.661,10.273,23.422,17.37,16.763,23.159,6.733,22.717,27.209,7.633,27.205,28.321,-4.514,24.596,2.381,9.132,16.689,17.126,9.388,16.511,18.637,19.205,19.476,-5.848,6.707,8.1,23.493,12.218,20.888,2.221,27.48,25.786,26.188,-21.458,-22.052,26.958,26.772,26.277,29.295,27.471,26.538,25.873,25.673,27.736,8.318,14.795,13.123
"2",6.407,16.48,14.086,11.49,11.296,13.681,15.234,15.242,16.352,12.877,10.858,9.234,12.055,6.616,6.135,13.836,15.577,12.936,18.054,11.796,15.557,1.655,11.071,10.065,16.199,11.796,10.063,9.816,10.469,13.591,15.276,14.965,12.852,14.968,12.667,13.005,3.622,12.553,14.495,16.807,15.55,12.728,14.769,16.256,6.808,11.783,13.636,10.818,10.41,19.531,16.138,24.231,6.442,-5.233,14.921,28.442,20.614,19.89,27.263,11.921,24.348,27.095,13.329,28.485,28.112,1.913,25.969,7.601,13.288,19.842,21.97,15.711,17.636,21.348,21.723,22.93,3.407,15.521,14.098,26.476,13.857,27.378,9.606,28.139,26.563,27.073,-12.838,-13.32,27.32,27.371,28.047,29.649,28.012,26.805,26.047,26.013,27.343,12.759,22.151,20.156
"3",11.802,19.849,17.319,14.154,16.7,16.255,18.168,18.824,19.268,15.993,14.532,15.208,16.078,8.93,13.081,16.548,17.788,15.631,21.913,14.56,18.706,6.925,13.83,12.775,19.07,14.56,15.771,11.919,15.751,16.093,18.651,19.127,15.647,18.274,15.563,15.843,8.367,16.34,17.962,19.246,18.534,16.147,17.418,19.899,12.172,13.81,18.871,13.785,13.146,22.881,18.882,28.485,11.16,0.829,20.013,33.192,24.115,24.161,30.476,17.925,26.853,29.061,19.521,30.349,27.505,10.127,27.631,13.971,18.674,23.994,27.186,22.232,23.014,25.417,25.624,27.035,12.502,21.693,19.707,29.656,18.014,32.643,15.406,29.267,27.747,28.388,-4.153,-4.541,27.856,26.344,26.675,27.324,28.255,27.636,26.598,26.07,26.961,17.647,28.444,26.559
"4",13.651,21.697,20.234,14.813,15.216,17.101,19.499,20.257,20.556,16.207,15.75,14.833,17.056,10.658,13.24,18.523,19.418,16.275,24.113,16.397,19.064,8.766,15.924,15.003,21.421,16.397,15.014,13.124,15.004,17.118,20.406,18.958,18.707,19.854,16.284,16.548,9.889,16.392,18.335,21.568,19.569,16.277,18.726,22.877,13.27,15.669,17.725,15.624,14.877,24.67,21.987,29.894,13.429,3.562,22.49,34.295,26.229,26.933,30.338,17.834,27.265,28.4,20.628,27.407,27.467,13.156,28.559,16.682,22.029,26.596,29.805,22.868,21.247,28.056,28.097,29.486,15.22,23.853,21.624,30.484,18.111,35.035,19.059,29.175,28.018,29.393,-1.71,-2.072,28.132,26.437,27.509,27.877,26.988,28.577,27.507,24.741,25.878,20.269,30.026,28.326
"5",15.159,21.98,20.201,15.411,16.386,17.404,19.878,20.519,20.945,17.321,17.169,15.394,17.298,11.119,12.14,18.311,19.259,17.21,24.176,16.63,19.853,8.048,15.405,15.215,21.814,16.63,15.799,13.291,16.274,17.307,20.633,19.885,18.341,20.105,17.169,17.407,9.545,17.963,19.112,22.474,20.089,17.371,19.193,22.442,13.157,15.569,18.589,15.317,14.548,26.199,20.849,30.845,14.433,1.429,22.371,34.011,26.059,27.078,30.67,17.826,27.937,28.032,20.516,26.214,27.146,12.353,28.424,15.721,21.152,26.632,29.417,22.33,20.543,27.974,28.153,29.324,13.173,20.78,19.984,30.762,17.597,34.487,16.644,28.795,27.704,29.183,-4.257,-4.699,27.543,25.87,26.221,26.921,26.555,28.128,27.321,24.284,25.497,18.724,27.313,25.195
"6",12.71,19.317,16.966,12.595,13.451,14.458,17.15,18.294,17.985,14.51,14.029,12.673,14.512,9.834,9.234,15.293,16.846,14.165,21.672,14.858,17.087,4.348,13.346,13.598,18.911,14.858,12.899,10.456,13.32,14.191,17.793,17.33,15.158,17.192,14.428,14.742,6.49,14.84,16.704,20.206,17.396,14.793,16.123,20.328,9.495,12.75,16.003,12.812,12.237,23.565,20.809,25.531,13.012,-0.694,19.911,29.254,23.539,25.389,27.642,15.662,26.692,28.082,17.143,26.356,27.164,4.754,27.372,9.524,15.402,24.524,26.257,18.909,19.346,25.687,25.915,26.506,6.147,14.693,15.573,28.449,16.47,30.813,9.504,28.607,27.255,28.555,-12.22,-12.76,27.321,26.025,26.055,27.029,26.469,27.646,27.095,24.106,25.482,14.572,22.34,19.739
"7",8.944,14.8,12.991,7.662,8.557,10.207,12.311,13.168,12.966,9.166,9.951,8.055,9.721,7.822,4.273,11.574,13.806,9.291,17.028,12.91,11.516,-0.0680000000000001,10.435,11.448,14.798,12.91,8.163,5.944,8.58,9.837,12.485,12.114,10.139,12.149,10.266,10.662,1.861,9.614,11.538,16.264,12.02,9.667,11.135,14.708,4.649,7.994,10.465,9.841,9.527,22.473,15.593,23.123,8.097,-6.579,14.073,24.864,18.628,21.315,24.655,10.126,23.241,26.827,10.336,24.908,26.802,-3.227,25.751,2.738,8.618,20.291,19.999,12.396,16.591,21.634,21.885,21.276,-4.326,5.01,8.151,24.089,13.583,23.369,-1.174,27.41,26.134,27.517,-20.087,-20.707,26.878,24.452,23.873,25.75,25.213,27.051,26.407,23.091,24.429,7.13,13.794,10.932
"8",2.798,10.126,5.217,0.607,3.017,4.07,6.698,8.667,6.915,2.571,3.804,1.749,3.41,2.961,-3.447,4.581,8.122,2.944,13.203,7.348,5.487,-3.236,4.419,5.853,8.535,7.348,1.872,-1.277,2.74,3.745,7.298,6.963,2.398,6.794,4.409,4.916,-5.329,3.621,6.432,10.728,6.476,3.917,4.599,7.296,-3.599,0.622,5.722,3.642,3.867,18.315,9.192,15.878,4.477,-10.85,10.726,17.645,13.358,20.218,19.542,7.07,20.609,23.833,5.913,20.819,26.326,-8.965,23.897,-2.142,3.23,18.105,15.936,8.158,11.535,19.649,20.068,18.041,-16.265,-1.062,0.25,21.169,9.644,17.529,-12.909,26.383,24.95,26.398,-22.033,-22.566,26.524,22.96,22.084,24.792,23.75,26.613,25.799,22.13,23.63,-0.52,7.322,4.943
"9",-2.111,4.767,2.598,-5.233,-2.325,-0.0760000000000005,0.299,3.033,0.322,-2.944,-1.116,-2.711,-1.446,0.484999999999999,-9.052,0.895,4.981,-1.58,8.398,4.552,-1.763,-7.242,1.167,2.165,3.919,4.552,-2.634,-6.281,-1.987,-0.54,1.332,0.43,-1.589,0.805,0.389,0.966,-10.347,-2.307,-0.198,5.419,-0.075,-3.054,-2.056,6.011,-10.159,-4.186,-0.239,-0.119,0.36,14.762,8.352,12.474,-0.849,-13.102,5.542,14.17,11.419,16.089,14.622,3.138,17.869,19.512,0.972,16.732,25.451,-17.898,21.926,-9.326,-4.487,13.341,10.441,4.234,6.492,15.117,15.655,13.101,-24.33,-9.273,-6.176,16.144,5.086,12.164,-22.703,24.762,23.16,24.645,-24.252,-24.721,25.289,20.265,19.677,23.196,21.924,25.41,24.526,20.443,22.364,-7.741,2.564,-0.782
"10",-4.294,3.162,4.508,-4.483,-8.478,-1.265,-0.172,-1.02,0.589,-3.713,-3.356,-8.271,-2.748,2.866,-10.499,1.787,5.665,-2.907,5.804,3.777,-2.671,-2.463,2.177,1.781,4.757,3.777,-8.332,-4.807,-7.598,-1.461,-0.954,-5.037,0.394,-0.518,-1.632,-1.034,-9.431,-5.387,-4.182,6.225,-1.987,-4.056,-0.986,7.123,-9.591,-2.427,-6.278,-0.123,0.428,13.353,9.274,11.338,-5.218,-12.389,1.255,12.624,10.247,12.768,12.606,-1.552,16.606,18.046,-3.538,16.977,25.289,-23.369,21.463,-11.742,-4.741,10.301,7.629,0.589,6.104,12.086,12.684,10.467,-26.612,-14.163,-7.787,13.629,4.294,10.158,-23.753,24.346,22.638,24.097,-26.097,-26.561,24.874,18.596,18.532,22.612,22.269,24.773,23.793,20.671,22.809,-8.815,1.196,-2.988
